epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,52.0015,1.07011,1.80289,1.31785,1.08112,0,0.38879,0.22414,0.27142,0.17691,0.27048,0.34483,0.25685,0.16557,1.20159,1.94891,2.0301,1.20613,0,0.000330435,0.000330435,0.067287
2,85.858,1.05862,1.69738,1.26808,1.0767,0,0.45063,0.5799,0.35443,0.21534,0.38889,0.65517,0.32446,0.19613,1.0941,1.79708,1.75011,1.20502,0,0.000644993,0.000644993,0.0342682
3,117.013,1.03274,1.56724,1.19349,1.06196,0,0.45595,0.67916,0.57599,0.36158,0.41006,0.63793,0.50418,0.3397,1.13948,1.75491,1.57482,1.1639,0,0.000940694,0.000940694,0.00123055
4,148.826,1.10508,1.71395,1.19873,1.09554,0,0.52334,0.58621,0.59409,0.39319,0.56491,0.5149,0.56503,0.34393,1.09052,1.7126,1.44568,1.18364,0,0.000915143,0.000915143,0.000915143
5,176.524,1.05205,1.61522,1.15844,1.06758,0,0.63453,0.56897,0.63609,0.45871,0.61778,0.62069,0.63133,0.43294,1.08661,1.77781,1.4884,1.16052,0,0.000886857,0.000886857,0.000886857
6,203.551,1.02428,1.5598,1.13717,1.06504,0,0.62543,0.53448,0.59156,0.392,0.62543,0.53448,0.57015,0.37847,1.17945,1.92741,1.2888,1.19205,0,0.000858571,0.000858571,0.000858571
7,232.453,1.01694,1.52497,1.11443,1.04875,0,0.73649,0.57834,0.66004,0.45647,0.62727,0.63836,0.64145,0.39325,1.11202,1.759,1.18431,1.16385,0,0.000830286,0.000830286,0.000830286
8,261.869,1.0418,1.64337,1.15653,1.08507,0,0.59913,0.74734,0.72078,0.47919,0.58447,0.72758,0.68788,0.45644,1.09531,1.69618,1.27232,1.18899,0,0.000802,0.000802,0.000802
9,302.521,0.98187,1.47005,1.05834,1.03723,0,0.71137,0.58621,0.72125,0.46259,0.58305,0.74138,0.71908,0.45383,1.18603,1.62536,1.09925,1.24635,0,0.000773714,0.000773714,0.000773714
10,355.695,0.97781,1.51121,1.03346,1.03757,0,0.83931,0.62069,0.74846,0.52147,0.88942,0.62069,0.72719,0.48922,1.07584,1.67933,1.08062,1.16263,0,0.000745429,0.000745429,0.000745429
11,384.17,1.00114,1.50456,1.065,1.05073,0,0.67225,0.65517,0.69861,0.49299,0.69119,0.67241,0.69572,0.44416,1.04518,1.69294,1.17754,1.14932,0,0.000717143,0.000717143,0.000717143
12,412.629,0.98819,1.49658,1.06863,1.04185,0,0.71008,0.63793,0.72336,0.49167,0.71623,0.60931,0.69093,0.48189,1.10627,1.63787,1.10217,1.16561,0,0.000688857,0.000688857,0.000688857
13,440.961,0.98035,1.46106,1.02011,1.02942,0,0.70062,0.67241,0.72854,0.52248,0.70829,0.67241,0.68759,0.48437,1.04209,1.6223,1.32497,1.16102,0,0.000660571,0.000660571,0.000660571
14,470.046,0.9811,1.43103,1.01947,1.02204,0,0.58075,0.67241,0.67929,0.46453,0.56586,0.65517,0.66623,0.43037,1.05409,1.71169,1.09327,1.15591,0,0.000632286,0.000632286,0.000632286
15,517.126,0.98719,1.54594,1.03042,1.04157,0,0.55875,0.74138,0.66047,0.46316,0.61547,0.67241,0.61495,0.39463,0.9754,1.62301,1.16762,1.10212,0,0.000604,0.000604,0.000604
16,575.768,0.96121,1.42005,1.05919,1.0142,0,0.79777,0.65517,0.77904,0.57211,0.82238,0.63862,0.76043,0.52889,1.00535,1.59582,1.0383,1.12175,0,0.000575714,0.000575714,0.000575714
17,634.781,0.93777,1.45352,0.97574,1.0183,0,0.81551,0.58621,0.71049,0.49431,0.84118,0.55172,0.6787,0.45304,1.01351,1.61597,1.01927,1.0975,0,0.000547429,0.000547429,0.000547429
18,694.097,0.93534,1.37923,0.99889,1.01045,0,0.77037,0.75862,0.80028,0.5764,0.78788,0.77586,0.77572,0.51982,0.96709,1.59513,1.01304,1.1028,0,0.000519143,0.000519143,0.000519143
19,753.298,0.9227,1.41494,0.94663,1.00446,0,0.7837,0.7069,0.79109,0.56469,0.79903,0.72414,0.76927,0.50369,1.02143,1.63183,1.0097,1.11308,0,0.000490857,0.000490857,0.000490857
20,812.231,0.89943,1.3318,0.90147,0.98768,0,0.70317,0.72414,0.77354,0.55992,0.70835,0.72414,0.75292,0.50265,1.00855,1.58967,1.36091,1.11469,0,0.000462571,0.000462571,0.000462571
21,870.796,0.89909,1.35531,1.16504,0.99122,0,0.76479,0.74138,0.78907,0.57962,0.76479,0.74138,0.76951,0.5427,0.96336,1.54422,1.05057,1.07231,0,0.000434286,0.000434286,0.000434286
22,929.875,0.8757,1.37031,0.89231,0.98741,0,0.8321,0.65517,0.80223,0.58916,0.81366,0.67763,0.79071,0.53912,0.96639,1.47777,0.91092,1.08538,0,0.000406,0.000406,0.000406
23,989.795,0.88775,1.40114,0.92666,0.98126,0,0.71768,0.77586,0.79933,0.5934,0.82739,0.7069,0.79527,0.56106,0.93918,1.48115,0.97389,1.08006,0,0.000377714,0.000377714,0.000377714
24,1048.7,0.8515,1.26972,0.89697,0.98188,0,0.78484,0.67241,0.77822,0.55001,0.78484,0.67241,0.77353,0.50898,0.97038,1.48949,0.90498,1.10684,0,0.000349429,0.000349429,0.000349429
25,1107.84,0.88171,1.33555,0.86077,0.99339,0,0.69223,0.65517,0.75424,0.56043,0.72903,0.68966,0.76054,0.52447,0.91488,1.44343,0.97095,1.0741,0,0.000321143,0.000321143,0.000321143
26,1166.29,0.87937,1.34114,0.87243,0.99464,0,0.88762,0.68096,0.81361,0.5999,0.89576,0.65517,0.79115,0.54805,0.94948,1.49359,0.91464,1.0715,0,0.000292857,0.000292857,0.000292857
27,1225.93,0.89312,1.32179,0.84668,0.99307,0,0.91727,0.60345,0.80075,0.59749,0.91727,0.60345,0.78683,0.53884,0.97406,1.46776,0.92552,1.07613,0,0.000264571,0.000264571,0.000264571
28,1288.64,0.87006,1.32028,0.90857,0.9795,0,0.83326,0.68931,0.81344,0.60603,0.74313,0.75862,0.79918,0.55989,0.94002,1.48297,0.904,1.07901,0,0.000236286,0.000236286,0.000236286
29,1347.81,0.82899,1.27373,0.86139,0.96993,0,0.88593,0.62069,0.80857,0.59809,0.69821,0.75862,0.76561,0.54015,0.939,1.5369,0.89055,1.07701,0,0.000208,0.000208,0.000208
30,1406.76,0.86016,1.3048,0.83836,0.97505,0,0.6836,0.7931,0.80518,0.59051,0.69846,0.81034,0.77822,0.54219,0.93323,1.53053,0.8802,1.09157,0,0.000179714,0.000179714,0.000179714
31,1447.24,0.81318,1.23794,0.84792,0.95295,0,0.63728,0.81034,0.77763,0.54871,0.62341,0.7931,0.72925,0.49506,0.97725,1.5593,0.9022,1.10596,0,0.000151429,0.000151429,0.000151429
32,1476.14,0.80321,1.19107,0.83299,0.95564,0,0.77609,0.6574,0.7604,0.55366,0.75621,0.64185,0.7273,0.51236,0.9441,1.56474,0.97027,1.09906,0,0.000123143,0.000123143,0.000123143
33,1504.76,0.78711,1.24066,0.80509,0.98061,0,0.76067,0.68966,0.78682,0.57804,0.76067,0.68966,0.77574,0.53048,0.9325,1.55557,0.90442,1.07706,0,9.48571e-05,9.48571e-05,9.48571e-05
34,1533.27,0.7847,1.19731,0.77989,0.94839,0,0.82703,0.67241,0.79108,0.58464,0.82703,0.67241,0.78197,0.53804,0.9292,1.52965,0.90238,1.07383,0,6.65714e-05,6.65714e-05,6.65714e-05
35,1562.34,0.77623,1.16774,0.76244,0.95886,0,0.76192,0.7069,0.78467,0.58382,0.86617,0.67241,0.78319,0.53171,0.93239,1.50501,0.87614,1.07162,0,3.82857e-05,3.82857e-05,3.82857e-05
